id,name,latDeg,longDeg,elevFt
6561,Flying O Airport,34.00939941,-80.26719666,5268
6562,SW Region FAA Heliport,32.8269,-97.305801,5204
6563,Tcjc-Northeast Campus Heliport,32.84759903,-97.1894989,5180
6564,Ragsdale Road Airport,35.51589966,-85.95359802,5170
6565,Alpine Range Airport,32.60760117,-97.24199677,5160
6566,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,5135
6567,Clear Creek Ranch Airport,37.247799,-112.821998,5124
6568,Vaughan Airport,36.57600021,-78.9991684,5120
6569,Groundhog Mountain Airport,36.66329956,-80.49949646,5120
6570,Lower Granite State Airport,46.672884,-117.441933,5100
6571,Howell Airport,47.17839813,-122.7720032,5060
6572,Northern Lite Airport,44.3042984,-89.05010223,5047
6573,Hawks Run Airport,46.25,-117.2490005,5010
6574,Lazy J. Aerodrome,38.82889938,-79.8660965,5000
6575,L P Askew Farms Airport,33.03340149,-101.9339981,4978
6576,Purkeypile Airport,62.9435997,-152.2700043,4970
6577,Providence Seward Medical Center Heliport,60.10587398,-149.446249,4950
6578,Ware Island Airport,32.94599915,-86.51390076,4935
6579,DeQueen Medical Center Heliport,34.047456,-94.354023,4935
6580,Yat Heliport,34.607406,-111.8609,4925
6581,Grant Airport,43.34170151,-85.77500153,4861
6582,SCE Lugo Substation Heliport,34.368241,-117.370059,4838
6583,Swansboro Country Airport,38.79990005,-120.7340012,4831
6584,Los Angeles County Sheriff's Department Heliport,34.03779984,-118.1539993,4830
6585,St Vincent General Hospital Heliport,39.24530029,-106.2460022,4702
6586,Berlin Fairgrounds Heliport,41.62730026,-72.72750092,4697
6587,Rybolt Ranch Airport,28.58939934,-81.14420319,4684
6588,Advent Health Altamonte Springs Heliport,28.666639,-81.3697,4650
6589,Cedar Knoll Flying Ranch Airport,28.78190041,-81.15920258,4635
6590,Medical Center Heliport,32.47930145,-84.97910309,4618
6591,The Farm Airport,32.675106,-82.771055,4600
6592,Stender Airport,41.66109848,-90.74130249,4580
6593,Myers Field,39.88499832,-86.50669861,4465
6594,Hoopeston Community Memorial Hospital Heliport,40.45859909,-87.65950012,4443
6595,Community Hospital Heliport,40.13090134,-85.69580078,4412
6596,William E. Koenig Airport,39.01620102,-90.31819916,4400
6597,Hilliard Airpark,30.68630028,-81.90570068,4364
6598,Caldwell Municipal Airport,37.03609848,-97.58640289,4356
6599,Flying N Ranch Airport,38.54059982,-97.00330353,4346
6600,Lourdes Hospital Heliport,37.05170059,-88.64689636,4275
6601,Barham Airport,32.63899994,-91.7736969,4273
6602,Schumaier Restricted Landing Area,38.12580109,-89.46389771,4250
6603,Country Breeze Airport,30.722478,-91.077372,4250
6604,Compaq Andover Heliport,42.62509918,-71.18009949,4200
6605,Annapolis Seaplane Base,38.999199,-76.456001,4180
6606,Saint Peter's Seaplane Base,46.77890015,-68.50029755,4098
6607,Flow Through Terminal Heliport,43.04949951,-83.67970276,4090
6608,Barnes Seaplane Base,47.89960098,-92.55740356,4074
6609,Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871,4070
6610,Crystal Lakes Resort Airport,48.78910065,-114.8799973,4025
6611,Topsail Airpark,34.47529984,-77.58139801,4024
6612,Detour Airport,40.84360123,-100.6529999,4020
6613,Moore Airfield,43.6445,-72.086998,4017
6614,Albert Guido Memorial Heliport,40.7417984,-74.13710022,4017
6615,Lantana Ranch Airport,38.76390076,-119.0270004,4000
6616,Vassar Hospital Heliport,41.692415,-73.93683,3985
6617,Avita Health System Galion Hospital Heliport,40.730267,-82.802022,3975
6618,Lawrence Airport,35.294498,-98.636496,3920
6619,Red & White Flying Service Airport,43.119301,-121.044997,3881
6620,Pine Heliport,40.655602,-80.050903,3880
6621,Bierly(Personal Use) Airport,40.93059921,-77.73889923,3835
6622,Nort's Resort Airport,41.59590149,-76.02960205,3820
6623,York Airport,35.03210068,-81.25279999,3815
6624,Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895,3810
6625,Smith Field,32.73759842,-96.4280014,3800
6626,Colonial Air Park,34.9958992,-89.73059845,3791
6627,St Joseph Hospital Heliport,32.7285,-97.324501,3760
6628,Mims Farm Ultralightport,32.388115,-96.877398,3664
6629,Duckwater Airport,38.85160065,-115.6340027,3647
6630,La Sal Junction Airport,38.30830002,-109.3960037,3630
6631,Pickles Airport,39.125,-77.92500305,3608
6632,Willapa Harbor Heliport,46.66320038,-123.8119965,3580
6633,Prehn Cranberry Company Airport,44.00999832,-90.3891983,3575
6634,Whidbey General Hospital Heliport,48.21340179,-122.6849976,3552
6635,Keyhole Airport,44.34719849,-104.810997,3525
6636,Meadowood Ranch Heliport,32.02019882,-95.74549866,3500
6637,Rustic Wilderness Airport,61.876907,-150.097626,3450
6638,Bass Field,30.37150002,-87.76439667,3435
6640,Winchester Farm Airstrip,32.376401,-109.936996,3359
6641,Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978,3350
6642,Shannon Field,34.12960052,-90.52400208,3350
6643,Conover Air Lodge Airport,34.761101,-119.058998,3350
6644,Mc Cullough Airport,37.6432991,-106.0469971,3340
6645,Strangers Point Heliport,41.91960144,-72.44450378,3300
6646,Osborn Airfield,28.52669907,-81.87480164,3300
6648,Doug Bolton Field,34.20259857,-83.42900085,3270
6649,Etowah Fields Airport,34.1753006,-84.92440033,3235
6650,K3 Helipad Heliport,21.36199951,-157.951004,3225
6651,Boone County Hospital Heliport,42.05609894,-93.87799835,3201
6652,Morgan Ranch Airport,44.55550003,-115.3050003,3180
6653,King Ultralightport,40.06230164,-86.21050262,3150
6654,Diamond P. Field,40.20890045,-85.540802,3141
6655,Condell Medical Center Heliport,42.27460098,-87.95729828,3130
6656,Jmj Landing Airport,39.22219849,-96.05529785,3120
6657,Boone National Guard Heliport,38.190282,-84.906442,3100
6658,La State Police Troop G Heliport,32.53129959,-93.66020203,3100
6659,Windy Hill Heliport,30.14830017,-91.91899872,3042
6660,Cuttyhunk Heliport,41.419601,-70.927002,3038
6661,Nadeau's Airfield,43.537467,-70.930685,3020
6662,Fairplains Airpark,43.15710068,-85.14849854,3000
6663,Greenbush Municipal Airport,48.686527,-96.191976,2969
6664,Troy Airpark,39.04999924,-91.03350067,2950
6665,Watts Field,34.095701,-90.846131,2931
6666,Barrett Field,47.2374,-111.74304,2900
6667,Timber Line Airpark,36.655612,-93.802387,2895
6668,Benes Service Airport,41.07450104,-96.90450287,2873
6669,Iroquois Landing Seaplane Base,44.65710068,-71.21910095,2872
6670,Penske Heliport,40.55730057,-74.46710205,2777
6671,Paiute Meadows Airport,41.299551,-118.926709,2775
6672,Hansen Heliport,43.13259888,-75.65550232,2762
6673,Zimmerman Airport,41.37639999,-83.08329773,2750
6674,Murtha Airport,41.80199814,-80.56539917,2750
6675,Canon Heliport,35.458401,-97.525297,2750
6676,Rowena Dell Airport,45.68149948,-121.3160019,2715
6677,Stottle Memorial Heliport,40.403596,-77.556602,2680
6678,Lag Iii Heliport,40.43830109,-79.76999664,2680
6679,Peco Berwyn Heliport,40.06959915,-75.4552002,2654
6680,Cuylers Airport,18.464924,-66.363773,2650
6681,Hughes Ultralightport,41.90060043,-77.2303009,2620
6682,Harpers Airport,32.75849915,-81.22480011,2617
6683,Wise River Airport,45.76910019,-112.9820023,2614
6684,Matagorda Shore Facility Heliport,28.722177,-95.875813,2614
6685,Baylor Medical Center Heliport,32.395401,-96.86419678,2594
6686,Ellis Field,35.7806015,-86.584198,2580
6687,FWOMC Heliport,32.747601,-97.370003,2526
6688,The Palms At Kitty Hawk Airport,33.370403,-101.922882,2525
6689,Lucin Airport,41.36629868,-113.8430023,2522
6690,The Greenhouse Airport,38.43569946,-77.85720062,2510
6691,Northstar Aviation Heliport,36.63880157,-82.11669922,2500
6692,Cawleys South Prairie Airport,47.15230179,-122.0940018,2460
6693,Beer Airport,45.0318985,-92.65579987,2450
6694,Fowler Field,48.74580002,-119.3190002,2440
6695,Seidel Ranch Airport,30.07763,-97.759038,2430
6696,Joe Clouds Seaplane Base,60.72722244,-151.132782,2375
6697,Highland Medical Center Heliport,34.662604,-86.046774,2362
6698,Hscmh Heliport,34.35760117,-92.78849792,2350
6699,Thompson International Aviation Airport,31.430971,-110.088087,2347
6700,Grossmont Hospital Heliport,32.779484,-117.006952,2345
6701,Kugel-Strong Airport,40.21250153,-104.7440033,2343
6702,Lake Persimmon Airstrip,27.35309982,-81.40809631,2342
6703,Tharpe Airport,30.8288,-85.731003,2323
6704,Ranger Heliport,26.683716,-80.186561,2320
6705,Clarks Dream Strip,39.644199,-83.018204,2313
6706,East Field,41.581902,-92.461304,2310
6707,Flying Y Ranch Airport,44.79430008,-116.5329971,2310
6708,Davis Field Ultralightport,37.9620018,-87.77890015,2275
6709,Wix Airport,41.40230179,-87.8167038,2220
6710,Heinzman Airport,40.18000031,-86.01249695,2213
6711,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,2205
6712,Valley Grain Heliport,39.86470032,-95.26409912,2200
6713,Flying H Farms Airport,37.79169846,-87.54139709,2182
6714,Damien Heliport,30.19960022,-91.12789917,2180
6715,Fmc Nr 1 Heliport,32.1590004,-91.70800018,2172
6716,Lakeside Marina Seaplane Base,44.32089996,-69.88950348,2165
6717,Hadley Airport,42.393431,-72.551553,2160
6718,Upper Chesapeake Medical Center Heliport,39.518427,-76.346022,2156
6719,Maple Ridge Airport,44.08420181,-70.62729645,2150
6720,Harold Miller Heliport,43.55089951,-83.86219788,2150
6721,Nauerth Land Ranch Airport,43.62519836,-95.22470093,2142
6722,Cahoochie Airport,37.884499,-93.131599,2130
6723,Vicksburg Medical Center Heliport,32.31880188,-90.8832016,2129
6724,Cascade Field,47.267327,-111.71748,2125
6725,Mc Donnell Airport,38.49250031,-94.41249847,2110
6726,Pilots Ridge Airport,34.10430145,-77.90419769,2081
6727,Olafson Brothers Airport,48.62639999,-97.82900238,2080
6728,Hyde Ranch Airport,41.54639816,-99.33119965,2064
6729,Lorden Heliport,42.81539917,-71.12439728,2060
6730,AT&T Heliport,40.668713,-74.410152,2054
6731,Llama Ranch Airport,40.58440018,-115.2979965,2010
6732,Talmage Field,40.95840073,-72.71679688,2004
6733,Gibbs Field,41.416933,-83.018339,1990
6734,Cleveland Clinic Marymount Hospital Heliport,41.420312,-81.599552,1980
6735,Sahoma Lake Airport,36.041259,-96.161517,1973
6736,Powwatka Ridge Airport,45.85540009,-117.4840012,1961
6737,Collegeville Heliport,40.16289902,-75.46569824,1950
6738,M.P. Metals Heliport,41.066861,-76.180806,1950
6739,Ziggy's Field,40.849998,-77.905602,1930
6740,Sandy River Airport,45.40179825,-122.2289963,1900
6741,Seacoast Medical Center Heliport,33.86500168,-78.66190338,1900
6742,Gay Hill Farm Airport,30.262699,-96.500198,1850
6743,Barronena Ranch Airport,27.490812,-98.669615,1840
6744,Eagles Landing Heliport,35.92250061,-83.57939911,1825
6745,Shannon Medical Center Heliport,31.4658,-100.43397,1812
6746,M D K Field Heliport,29.580929,-95.30508,1800
6747,AZ Minerals Corporation Airport,37.114384,-109.99014,1799
6748,Whipoorwill Springs Airport,38.66460037,-77.57969666,1780
6749,Spangle Field,47.40819931,-117.3720016,1765
6750,Zink Airport,44.028873,-88.883945,1761
6751,Aerostone Ranch Airport,45.875,-120.6699982,1740
6752,Creekside Airport,31.31809998,-100.7539978,1700
6753,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123,1690
6754,Saline Memorial Hospital Heliport,34.574319,-92.586047,1680
6755,(Old) Chinle Airport,36.147197,-109.560771,1680
6756,Gray Butte Field,34.5639,-117.675003,1670
6757,Hunt's Sky Ranch Airport,33.08169937,-116.4410019,1663
6758,Shingle Mill Heliport,41.75510025,-73.05239868,1645
6759,De Leon Municipal Airport,32.098801,-98.525325,1635
6760,Richards Field,25.55870056,-80.51509857,1626
6761,Cross Creek Farms Airport,29.240353,-81.222525,1590
6762,Columbus Southwest Airport,39.91120148,-83.188797,1580
6763,Middlekoop Airport,41.0882988,-92.05460358,1580
6764,Lanham Field,43.877015,-116.538365,1570
6765,Turkey Run Airport,41.13059998,-84.99410248,1566
6766,Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378,1560
6767,Van Gorder Airport,40.17860031,-88.56900024,1550
6768,Robinson Industries Heliport,38.97890091,-95.21970367,1550
6769,Natchez Trace Farm Airport,37.13510132,-85.78939819,1550
6770,Saint James Parish Hospital Heliport,30.051001,-90.703848,1550
6771,Brunner Airport,42.13610077,-88.28759766,1540
6772,La National Guard Heliport,30.44610023,-91.1053009,1525
6773,Goddard Field,42.810908,-71.140959,1523
6774,Chesapeake City Heliport,39.51810074,-75.8214035,1518
6775,Beech Hill Airport,44.66669846,-69.89389801,1515
6776,Rapids Airway Airport,42.53450012,-84.62830353,1510
6777,Helblad Airport,47.9858017,-94.68689728,1505
6778,Airpark Private Airport,39.30120087,-91.45149994,1500
6779,Nick's Flying Service Inc Airport,32.9396019,-90.83730316,1500
6780,Pluhar Airport,47.13749778,-106.488095,1500
6781,Western Wake Medical Center Heliport,35.73920059,-78.78220367,1500
6782,Mc Connell Field Airport,41.15999985,-101.2990036,1495
6783,Emmanuel Airport,39.59680176,-75.23349762,1489
6784,Kingston Ranch Airport,35.75550079,-115.6650009,1482
6785,Klaverack Airport,42.26229858,-73.69619751,1475
6786,Bossow Airport,41.2477,-81.100701,1467
6787,Stillwater Medical Center Heliport,36.11529922,-97.07949829,1463
6788,Collins Landing Strip,44.74990082,-120.2009964,1455
6789,S & C Distribution Center Heliport,39.87929916,-75.22879791,1452
6790,Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021,1452
6791,Emergency Helipad,34.842188,-82.60714,1450
6792,Capitol National Bank Building Heliport,30.270262,-97.745275,1447
6793,Veterans Affairs Medical Center Heliport,29.699687,-95.39069,1447
6794,Hensley Airpark,36.18330002,-82.67890167,1446
6795,Hummingbird Heliport,30.553284,-97.605358,1440
6796,Pocock Airport,31.732779,-97.369326,1440
6797,Navajo Mountain Airport,37.006689,-110.794701,1438
6798,Saguache Municipal Airport,38.0990833,-106.1743889,1435
6799,Russell County Medical Center Heliport,36.898,-82.078,1435
6800,Manquin Flight Park Ultralightport,37.706546,-77.201621,1430
6801,Lightning Bolt Field Airport,44.40110016,-72.26360321,1430
6802,Field of Dreams Airport,46.02280045,-92.895401,1420
6803,Ox Meadows Airport,47.58179855,-117.4369965,1420
6804,Dutch Gap Airstrip,42.52339935,-88.01670074,1404
6805,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.65361111,-79.95611111,1390
6806,Schmidts Heliport,32.5821,-97.142502,1372
6807,Wasilla Creek Airpark,61.66830063,-149.1880035,1365
6808,Allen Stagefield Army Heliport,31.23119926,-85.64969635,1365
6809,Yuma Regional Medical Center Heliport,32.683452,-114.634346,1352
6810,Van Buren Seaplane Base,47.158901,-67.931999,1350
6811,Lost Hills Sheriff's Station Heliport,34.13779831,-118.7139969,1349
6812,Pope Valley Airport,38.6106987,-122.3909988,1345
6813,Rancho de Aereo Airport,40.214984,-104.984423,1340
6814,O And G Heliport,41.77370071,-73.11620331,1340
6815,Melanie's Airport,30.91889954,-86.21829987,1335
6816,Aventura Heliport,25.96089935,-80.1391983,1332
6817,Charlton Strip,26.52018,-81.41031,1330
6818,Raju Airport,32.07139969,-84.71440125,1325
6819,Spotts Field,43.13750076,-93.06829834,1322
6820,Running Creek Ranch Airport,45.914101,-114.835999,1321
6821,Reichhart Airport,41.02870178,-84.99720001,1320
6822,Classic Landings Airport,41.15670013,-88.01670074,1320
6823,Cooper Airport,39.64199829,-86.5042038,1301
6824,Hardy Airport,39.72589874,-89.26399994,1300
6825,Darbro Field,37.26620102,-95.959198,1300
6826,Cartersville Airport,37.53575,-84.407303,1293
6827,Greg's Flying Service Airport,32.26530075,-91.69779968,1289
6828,Midwest Heliport,41.749228,-87.935783,1287
6829,Grass Roots Airport,31.252148,-92.47569,1285
6830,Pauls Valley General Hospital Heliport,34.71979,-97.214237,1282
6831,Bentley Heliport,42.69120026,-70.91230011,1280
6832,Breezecroft Airport,39.244232,-76.198661,1280
6833,Drisko Airport,44.6570015,-67.55919647,1275
6834,Portageville Community Heliport,36.42979813,-89.68009949,1265
6835,VA Medical Center Jackson Heliport,32.32973,-90.16273,1260
6836,Brunswick Community Hospital Heliport,34.008099,-78.2911,1260
6837,Mc Kay Airport,41.72219849,-98.30899811,1255
6838,Stumpfield Heliport,42.9239006,-70.95140076,1255
6839,Paulus Hook Pier Heliport,40.7140007,-74.03150177,1251
6840,Oswego County At Pulaski Heliport,43.55199814,-76.09020233,1250
6841,Dorlon Airpark,41.28839874,-81.96260071,1250
6842,Hawk Haven Airport,35.8534,-97.567497,1250
6843,Peacock Ranch Airport,45.44150162,-117.3509979,1250
6844,PECO Mob. Heliport,39.9548,-75.178201,1247
6845,State Police Area Iii Heliport,40.30009842,-76.85800171,1245
6846,Mills Brothers Airport,40.14279938,-77.86190033,1240
6847,Vernonia Airfield,45.85150146,-123.2419968,1240
6848,Brandes Air Field,29.8090992,-96.26509857,1235
6849,Hilde-Griff Field,30.7220993,-97.79139709,1232
6850,Thurmond Glenn Field,35.556998,-89.552903,1230
6851,Dew Drop Airport,33.12929916,-97.3585968,1230
6852,Circle A Ranch Airport,32.128974,-97.404582,1230
6853,Oljato Airport,37.033626,-110.315778,1225
6854,Blanca Airport,37.41109848,-105.552002,1220
6855,Providence Airport,37.2242012,-78.41860199,1219
6856,Port of Highgate Springs Heliport,45.01330185,-73.08670044,1215
6857,Sacred Heart Medical Center Helistop,47.64820099,-117.4140015,1213
6858,Ames Private Airport,42.65110016,-88.74590302,1213
6859,Johnson Memorial Airport,33.07929993,-91.54319763,1208
6860,Henning Municipal Airport,46.30379868,-95.4394989,1207
6861,Brown Stagefield Army Heliport,31.38839912,-85.97239685,1200
6862,Bondair Airport,35.54449844,-92.18489838,1200
6863,Mercy Gilbert Medical Center Heliport,33.287759,-111.751454,1200
6864,Lucky Landing Marina and Seaplane Base,44.907001,-68.805,1195
6865,SCE Solar I Heliport,34.868942,-116.832024,1195
6866,Abc7-Tv Heliport,35.15719986,-118.2890015,1191
6867,Jecan Airport,37.38750076,-103.6910019,1190
6868,William P Gwinn Airport,26.90839958,-80.3289032,1180
6869,Grass Roots Airpark,28.64170074,-81.88500214,1180
6870,Morton Plant Hospital Heliport,27.953527,-82.806222,1180
6871,Smith Heliport,33.7533989,-84.16210175,1179
6872,Patoka Reservoir Landing Area Seaplane Base,38.4333992,-86.69110107,1175
6873,Rich Field,41.84140015,-91.83429718,1170
6874,Larkin Airport,43.46269989,-116.3590012,1170
6875,Humm Airport,41.59949875,-88.86990356,1169
6876,Ellis Fly-In Airport,39.282799,-87.303596,1161
6877,Sinele Strip,40.54639816,-91.27429962,1160
6878,Riverside Hospital Airlift Heliport,37.69580078,-97.37249756,1160
6879,Falcon Heliport,37.525902,-83.344901,1160
6880,Panther Helicopters Inc Heliport,29.84606,-90.03216,1160
6881,Hammersmith Heliport,41.8736,-88.496901,1157
6882,Tembec Heliport,30.70789909,-91.32019806,1155
6883,The Barn Heliport,42.69060135,-71.60900116,1150
6884,Bayview Heliport,39.29140091,-76.5463028,1145
6885,W A Foote Memorial Hospital Heliport,42.25109863,-84.3914032,1140
6886,Pike Field Airport,47.652185,-92.416692,1140
6887,Noahs Ark Airport,39.23059845,-94.80439758,1140
6888,Torgerson Airport,48.558696,-112.117095,1138
6889,Randall Airport,41.43199921,-74.39160156,1137
6890,Tailwinds Airport,34.82749939,-78.93029785,1130
6891,Fitterer's Strip,46.74890137,-101.6689987,1130
6892,St Marys Hospital Heliport,40.68000031,-95.86170197,1130
6893,Cole Farm Airport,42.92839813,-70.97309875,1125
6894,Chemical Bank - New Jersey Na Heliport,39.950102,-74.999603,1120
6895,Murphy Field,42.836797,-76.437614,1120
6896,Saint Elizabeth Medical Center Heliport,41.1147995,-80.65699768,1112
6897,Hal Joy Airfield,41.50979996,-80.59120178,1110
6898,Green Acres Airport,39.73479843,-84.38220215,1110
6899,Albert Lodge Heliport,36.54169846,-94.83360291,1100
6900,Hayden Mountain Airport,45.46509933,-123.0800018,1100
6901,Freefall Oz Airport,41.995792,-78.288152,1100
6902,Cherokee Island Castle Heliport,40.40230179,-79.9213028,1100
6903,Grawunder Field,29.94190025,-96.24610138,1090
6904,Beyer Farm Airport,37.58390045,-97.25309753,1085
6905,Glaser Field,30.90850067,-97.11689758,1080
6906,Ainsworth Airport,30.31270027,-95.02690125,1080
6907,Hunter STOLport,35.69729996,-86.95690155,1080
6908,Roscoe Mc Connico Airport,32.120701,-96.179101,1075
6909,Diamond N Ranch Airport,30.057919,-95.812489,1070
6910,Mount Horeb Field,38.24900055,-78.8553009,1070
6911,N A Degerstrom Yard Heliport,47.68629837,-117.197998,1070
6912,Young Private Airport,45.66270065,-92.45020294,1070
6913,Campbell Field,33.322933,-97.045019,1068
6914,Herman Municipal Airport,45.83000183,-96.16059875,1067
6915,Tac X Stagefield Army Heliport,31.12520027,-85.97910309,1065
6916,Morrilton Airport,35.194339,-92.802473,1065
6917,John C Lincoln Hospital Heliport,33.56669998,-112.0690002,1065
6918,Blue Hill Airport,44.44800186,-68.56970215,1060
6919,West Side Hospital Heliport,35.138949,-119.451463,1060
6920,Richvale Airport,39.49769974,-121.7710037,1060
6921,Comanche Creek Airport,39.2635994,-104.427002,1060
6922,TNT Heliport,41.4529,-72.249603,1056
6923,Tackaberry Airport,43.0644989,-82.72380066,1050
6924,Ocean Reef Club Airport,25.3253994,-80.27480316,1050
6925,Flying G Ranch STOLport,30.417999,-83.283796,1050
6926,Southwest Florida Regional Medical Center Heliport,26.6054,-81.859497,1045
6927,Alcovy Airport,33.67499924,-83.76309967,1045
6928,Lake Monroe Seaplane Base,39.05870056,-86.44609833,1045
6929,Interstate Airport,42.274991,-113.301229,1040
6930,St Vincent Jennings Hospital Heliport,39.01060104,-85.64080048,1040
6931,Gray Airport,39.57369995,-85.91390228,1040
6932,Central City Municipal - Larry Reineke Field,41.11259842,-98.05169678,1040
6933,Heape Field,37.73419952,-96.93669891,1040
6934,Blue Lick Airport,38.08060074,-85.69329834,1040
6935,Air Oil Inc Nr 1 Heliport,29.937099,-90.183701,1033
6936,Louisiana State Police Troop F Heliport,32.51825,-91.989093,1030
6937,West Pond Heliport,41.91699982,-70.70950317,1027
6938,Baugher's Orchard Airport,39.60829926,-77.05190277,1025
6939,Westbrook Heliport,43.73830032,-70.33920288,1025
6940,Scott Airstrip,43.86420059,-85.02390289,1025
6941,Dairyview Airport,44.05500031,-95.90950012,1021
6942,Lake Sexton Airport,38.655553,-93.624458,1020
6943,Glasgow Industrial Airport,48.42110062,-106.5279999,1020
6944,Bermudian Valley Airpark,40.01679993,-77.00389862,1020
6945,Hawks Meadow Airport,34.83319855,-80.75119781,1020
6946,Diving Rock Seaplane Base,43.17559814,-72.06390381,1020
6947,Hackensack UMC Palisades Heliport,40.793666,-73.994863,1019
6948,Mmc Heliport,42.66640091,-74.76499939,1016
6949,Tennessee Gas Heliport,39.9373,-81.683503,1015
6950,Pleasant Valley Airport,34.63339996,-99.03369904,1012
6951,Bruce's Airport,45.42179871,-122.6200027,1012
6952,Churchill Airport,39.77280045,-99.36009979,1004
6953,Salaika Aviation Airport,29.240519,-95.344658,1003
6954,Cuddihy Field,27.72109985,-97.51280212,1000
6955,Corntassel Airport,35.5685997,-84.2410965,1000
6956,Cross-Country Estates Airport,30.625381,-97.571425,1000
6957,Pecks Heliport,33.18399811,-96.44799805,1000
6958,Alpha Hotel Airport,36.81959915,-78.78309631,1000
6959,Meadow STOLport,44.44720078,-72.91470337,1000
6960,Multicare Deaconess Hospital Heliport,47.651637,-117.424477,1000
6961,Bartell Strip,42.965302,-88.391502,1000
6962,Allen Ponderosa Heliport,32.54219818,-97.39170074,1000
6963,Hill City-Quadna Mountain Airport,46.95550156,-93.59690094,1000
6964,Crittenden Regional Hospital Heliport,35.142046,-90.190212,990
6965,Mesa Police Heliport,33.417669,-111.838835,990
6966,Merrymeeting Field,44,-69.88710022,988
6967,Pg & E Co. Placerville Svc Center Heliport,38.69490051,-120.8270035,984
6968,Kistler Ranch Airport,37.85960007,-120.5540009,980
6969,Terra Firma Airport,38.73249817,-104.0410004,980
6970,Seavair's Landing Seaplane Base,41.89599991,-73.0931015,980
6971,City of Coalgate Airport,34.53179932,-96.23310089,978
6972,Duda Airstrip,26.57979965,-81.48370361,978
6973,Sunniland Ranch Airport,27.36310005,-80.77279663,977
6974,J. H. Hendrie Farms Airport,27.08449936,-81.3286972,975
6975,Salt Fork Lodge Heliport,40.11090088,-81.52619934,975
6976,Sapelo Island Airport,31.42580032,-81.2858963,970
6977,Symms Airport,43.56930161,-116.7770004,970
6978,Parkview Lagrange Hospital Heliport,41.645085,-85.426386,970
6979,Harms Airstrip,41.577,-89.793999,969
6980,Hemmer RLA Restricted Landing Area,37.97779846,-89.20290375,960
6981,Alderson Airport,39.03469849,-97.58000183,960
6982,Boss Airport,36.97259903,-84.62609863,960
6983,Air Oil Inc Nr 2 Heliport,29.95299911,-90.18260193,958
6984,Sauer Airport,41.07529831,-88.48919678,958
6985,Aeleron Airport,30.40829,-92.033444,958
6986,Wormid Airport,42.29399872,-71.49620056,957
6987,St Joseph Hospital Heliport,39.38830185,-76.61000061,955
6988,Lindbergh Airport,44.81420135,-70.34529877,955
6989,Sparrow Hospital Heliport,42.73419952,-84.53659821,954
6990,Christenson Point Seaplane Base,47.66939926,-93.05439758,954
